DATE & TIME,LATITUDE,LONGITUDE,DEPTH (KM),MAGNITUDE,LOCATION,DATE,TIME,CATEGORY,AREA,PROVINCE
09 January 2023 - 11:23 PM,11.82,125.27,29.0,3.2,019 km S 62° W of Taft (Eastern Samar),09 January 2023,11:23 PM,Weak,Taft,Eastern Samar
09 January 2023 - 08:19 PM,8.07,125.82,17.0,3.4,015 km S 90° W of Veruela (Agusan Del Sur),09 January 2023,08:19 PM,Weak,Veruela,Agusan Del Sur
09 January 2023 - 05:47 PM,5.99,126.18,55.0,2.6,060 km N 82° E of Jose Abad Santos (Davao Occidental),09 January 2023,05:47 PM,Slightly Felt,Jose Abad Santos,Davao Occidental
09 January 2023 - 05:10 PM,6.43,126.91,16.0,3.2,086 km S 37° E of Tarragona (Davao Oriental),09 January 2023,05:10 PM,Weak,Tarragona,Davao Oriental
09 January 2023 - 04:35 PM,6.36,126.18,15.0,3.0,034 km S 21° E of Governor Generoso (Davao Oriental),09 January 2023,04:35 PM,Weak,Governor Generoso,Davao Oriental
09 January 2023 - 01:32 PM,9.32,126.4,15.0,1.6,023 km N 79° E of Cortes (Surigao Del Sur),09 January 2023,01:32 PM,Scarcely Perceptible,Cortes,Surigao Del Sur
09 January 2023 - 01:27 PM,16.71,120.11,22.0,1.5,025 km N 65° W of City Of San Fernando (La Union),09 January 2023,01:27 PM,Scarcely Perceptible,City Of San Fernando,La Union
09 January 2023 - 11:38 AM,11.36,124.46,5.0,3.1,003 km S 71° W of Leyte (Leyte),09 January 2023,11:38 AM,Weak,Leyte,Leyte
09 January 2023 - 10:36 AM,15.36,120.3,35.0,1.4,022 km S 53° W of San Jose (Tarlac),09 January 2023,10:36 AM,Scarcely Perceptible,San Jose,Tarlac
09 January 2023 - 10:31 AM,13.59,120.64,115.0,2.2,019 km N 32° W of Abra De Ilog (Occidental Mindoro),09 January 2023,10:31 AM,Slightly Felt,Abra De Ilog,Occidental Mindoro
09 January 2023 - 10:15 AM,9.8,126.14,38.0,1.9,002 km N 43° W of General Luna (Surigao Del Norte),09 January 2023,10:15 AM,Scarcely Perceptible,General Luna,Surigao Del Norte
09 January 2023 - 05:16 AM,9.11,126.63,13.0,2.5,041 km N 68° E of Bayabas (Surigao Del Sur),09 January 2023,05:16 AM,Slightly Felt,Bayabas,Surigao Del Sur
09 January 2023 - 05:06 AM,5.25,126.45,79.0,2.8,111 km S 77° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),09 January 2023,05:06 AM,Slightly Felt,Sarangani Island,Municipality Of Sarangani
09 January 2023 - 03:27 AM,5.88,125.83,127.0,2.0,021 km S 81° E of Jose Abad Santos (Davao Occidental),09 January 2023,03:27 AM,Slightly Felt,Jose Abad Santos,Davao Occidental
09 January 2023 - 03:24 AM,14.08,120.43,111.0,1.8,022 km N 88° W of Nasugbu (Batangas),09 January 2023,03:24 AM,Scarcely Perceptible,Nasugbu,Batangas
09 January 2023 - 03:02 AM,17.31,120.66,10.0,2.0,003 km S 82° W of Luba (Abra),09 January 2023,03:02 AM,Slightly Felt,Luba,Abra
09 January 2023 - 02:35 AM,9.71,125.42,7.0,3.2,008 km S 02° W of San Francisco (Surigao Del Norte),09 January 2023,02:35 AM,Weak,San Francisco,Surigao Del Norte
09 January 2023 - 02:31 AM,8.48,126.71,17.0,1.8,043 km N 73° E of Hinatuan (Surigao Del Sur),09 January 2023,02:31 AM,Scarcely Perceptible,Hinatuan,Surigao Del Sur
09 January 2023 - 01:43 AM,9.07,126.79,1.0,2.5,056 km N 72° E of Cagwait (Surigao Del Sur),09 January 2023,01:43 AM,Slightly Felt,Cagwait,Surigao Del Sur
09 January 2023 - 01:43 AM,9.02,126.85,4.0,2.2,062 km N 79° E of Cagwait (Surigao Del Sur),09 January 2023,01:43 AM,Slightly Felt,Cagwait,Surigao Del Sur
09 January 2023 - 01:24 AM,13.38,122.76,14.0,1.7,011 km N 53° E of San Andres (Quezon),09 January 2023,01:24 AM,Scarcely Perceptible,San Andres,Quezon
09 January 2023 - 12:30 AM,7.83,126.75,68.0,3.1,033 km N 82° E of Cateel (Davao Oriental),09 January 2023,12:30 AM,Weak,Cateel,Davao Oriental
08 January 2023 - 11:11 PM,7.39,126.77,73.0,1.8,023 km N 74° E of Caraga (Davao Oriental),08 January 2023,11:11 PM,Scarcely Perceptible,Caraga,Davao Oriental
08 January 2023 - 11:02 PM,13.64,120.54,84.0,2.3,023 km S 25° W of Calatagan (Batangas),08 January 2023,11:02 PM,Slightly Felt,Calatagan,Batangas
08 January 2023 - 09:49 PM,6.29,126.94,69.0,2.6,100 km S 33° E of Tarragona (Davao Oriental),08 January 2023,09:49 PM,Slightly Felt,Tarragona,Davao Oriental
08 January 2023 - 07:47 PM,18.25,121.99,4.0,2.1,001 km S 28° W of Gonzaga (Cagayan),08 January 2023,07:47 PM,Slightly Felt,Gonzaga,Cagayan
08 January 2023 - 05:03 PM,8.39,125.99,2.0,1.6,001 km N 58° W of Rosario (Agusan Del Sur),08 January 2023,05:03 PM,Scarcely Perceptible,Rosario,Agusan Del Sur
08 January 2023 - 05:02 PM,19.03,120.69,1.0,3.3,054 km N 11° W of Pagudpud (Ilocos Norte),08 January 2023,05:02 PM,Weak,Pagudpud,Ilocos Norte
08 January 2023 - 04:13 PM,17.41,120.51,6.0,2.0,003 km S 81° E of Narvacan (Ilocos Sur),08 January 2023,04:13 PM,Slightly Felt,Narvacan,Ilocos Sur
08 January 2023 - 03:51 PM,9.08,126.81,4.0,2.1,059 km N 72° E of Cagwait (Surigao Del Sur),08 January 2023,03:51 PM,Slightly Felt,Cagwait,Surigao Del Sur
08 January 2023 - 12:41 PM,9.62,126.22,32.0,1.7,019 km S 20° E of General Luna (Surigao Del Norte),08 January 2023,12:41 PM,Scarcely Perceptible,General Luna,Surigao Del Norte
08 January 2023 - 12:23 PM,13.51,120.58,1.0,2.5,016 km N 52° E of Paluan (Occidental Mindoro),08 January 2023,12:23 PM,Slightly Felt,Paluan,Occidental Mindoro
08 January 2023 - 10:05 AM,2.95,127.5,143.0,3.6,357 km S 40° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),08 January 2023,10:05 AM,Weak,Balut Island,Municipality Of Sarangani
08 January 2023 - 08:51 AM,10.12,124.87,54.0,2.0,004 km S 66° E of City Of Maasin (Southern Leyte),08 January 2023,08:51 AM,Slightly Felt,City Of Maasin,Southern Leyte
08 January 2023 - 08:24 AM,9.3,126.26,30.0,1.8,007 km N 68° E of Cortes (Surigao Del Sur),08 January 2023,08:24 AM,Scarcely Perceptible,Cortes,Surigao Del Sur
08 January 2023 - 08:20 AM,13.51,120.92,1.0,1.7,018 km S 19° E of Tingloy (Batangas),08 January 2023,08:20 AM,Scarcely Perceptible,Tingloy,Batangas
08 January 2023 - 08:02 AM,10.3,124.99,1.0,3.4,001 km S 52° E of Tomas Oppus (Southern Leyte),08 January 2023,08:02 AM,Weak,Tomas Oppus,Southern Leyte
08 January 2023 - 07:30 AM,6.17,127.2,2.0,3.1,128 km S 41° E of Tarragona (Davao Oriental),08 January 2023,07:30 AM,Weak,Tarragona,Davao Oriental
08 January 2023 - 07:00 AM,7.49,126.51,135.0,5.0,011 km S 33° W of Baganga (Davao Oriental),08 January 2023,07:00 AM,Strong,Baganga,Davao Oriental
08 January 2023 - 06:58 AM,16.97,123.05,6.0,2.6,067 km S 81° E of Palanan (Isabela),08 January 2023,06:58 AM,Slightly Felt,Palanan,Isabela
08 January 2023 - 04:15 AM,9.24,125.78,33.0,2.2,021 km S 84° W of Madrid (Surigao Del Sur),08 January 2023,04:15 AM,Slightly Felt,Madrid,Surigao Del Sur
08 January 2023 - 03:37 AM,14.79,119.42,16.0,2.5,074 km S 76° W of San Antonio (Zambales),08 January 2023,03:37 AM,Slightly Felt,San Antonio,Zambales
08 January 2023 - 03:21 AM,9.78,126.16,21.0,1.5,000 km S 45° W of General Luna (Surigao Del Norte),08 January 2023,03:21 AM,Scarcely Perceptible,General Luna,Surigao Del Norte
08 January 2023 - 03:20 AM,17.7,120.57,26.0,1.9,010 km N 86° W of Danglas (Abra),08 January 2023,03:20 AM,Scarcely Perceptible,Danglas,Abra
08 January 2023 - 03:05 AM,10.24,123.24,24.0,1.8,014 km N 13° W of City Of Guihulngan (Negros Oriental),08 January 2023,03:05 AM,Scarcely Perceptible,City Of Guihulngan,Negros Oriental
