DATE & TIME,LATITUDE,LONGITUDE,DEPTH (KM),MAGNITUDE,LOCATION,DATE,TIME,CATEGORY,AREA,PROVINCE
31 January 2023 - 11:58 PM,8.39,126.63,43.0,3.2,033 km N 85° E of Hinatuan (Surigao Del Sur),31 January 2023,11:58 PM,Weak,Hinatuan,Surigao Del Sur
31 January 2023 - 11:50 PM,7.88,122.79,31.0,2.0,010 km N 22° E of Kabasalan (Zamboanga Sibugay),31 January 2023,11:50 PM,Slightly Felt,Kabasalan,Zamboanga Sibugay
31 January 2023 - 11:50 PM,5.76,125.23,64.0,2.0,007 km S 23° E of Glan (Sarangani),31 January 2023,11:50 PM,Slightly Felt,Glan,Sarangani
31 January 2023 - 11:35 PM,13.93,122.9,3.0,2.7,012 km S 16° E of San Lorenzo Ruiz (Camarines Norte),31 January 2023,11:35 PM,Slightly Felt,San Lorenzo Ruiz,Camarines Norte
31 January 2023 - 11:33 PM,6.82,126.19,32.0,2.2,012 km S 81° E of San Isidro (Davao Oriental),31 January 2023,11:33 PM,Slightly Felt,San Isidro,Davao Oriental
31 January 2023 - 11:29 PM,13.48,120.08,14.0,3.2,032 km S 35° W of Looc (Occidental Mindoro),31 January 2023,11:29 PM,Weak,Looc,Occidental Mindoro
31 January 2023 - 09:28 PM,19.99,121.37,32.0,3.2,065 km S 54° W of Sabtang (Batanes),31 January 2023,09:28 PM,Weak,Sabtang,Batanes
31 January 2023 - 08:32 PM,4.3,128.18,130.0,4.5,327 km S 67° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),31 January 2023,08:32 PM,Moderately Strong,Sarangani Island,Municipality Of Sarangani
31 January 2023 - 08:32 PM,7.37,126.72,87.0,3.2,018 km N 76° E of Caraga (Davao Oriental),31 January 2023,08:32 PM,Weak,Caraga,Davao Oriental
31 January 2023 - 08:24 PM,20.03,121.32,35.0,3.1,067 km S 60° W of Sabtang (Batanes),31 January 2023,08:24 PM,Weak,Sabtang,Batanes
31 January 2023 - 07:38 PM,9.15,127.26,82.0,2.8,108 km N 76° E of Cagwait (Surigao Del Sur),31 January 2023,07:38 PM,Slightly Felt,Cagwait,Surigao Del Sur
31 January 2023 - 06:34 PM,18.58,120.97,26.0,2.0,003 km N 50° W of Santa Praxedes (Cagayan),31 January 2023,06:34 PM,Slightly Felt,Santa Praxedes,Cagayan
31 January 2023 - 06:03 PM,17.89,120.78,4.0,2.2,013 km S 76° E of Nueva Era (Ilocos Norte),31 January 2023,06:03 PM,Slightly Felt,Nueva Era,Ilocos Norte
31 January 2023 - 04:49 PM,19.87,121.16,14.0,4.5,075 km N 26° W of Calayan (Cagayan),31 January 2023,04:49 PM,Moderately Strong,Calayan,Cagayan
31 January 2023 - 12:34 PM,5.83,126.1,66.0,4.6,051 km S 79° E of Jose Abad Santos (Davao Occidental),31 January 2023,12:34 PM,Moderately Strong,Jose Abad Santos,Davao Occidental
31 January 2023 - 10:17 AM,6.79,126.58,19.0,2.3,032 km S 27° E of Tarragona (Davao Oriental),31 January 2023,10:17 AM,Slightly Felt,Tarragona,Davao Oriental
31 January 2023 - 09:48 AM,8.24,127.01,7.0,2.5,069 km N 72° E of Lingig (Surigao Del Sur),31 January 2023,09:48 AM,Slightly Felt,Lingig,Surigao Del Sur
31 January 2023 - 09:36 AM,14.5,120.54,135.0,2.1,009 km N 38° E of Mariveles (Bataan),31 January 2023,09:36 AM,Slightly Felt,Mariveles,Bataan
31 January 2023 - 09:24 AM,15.54,119.8,17.0,2.4,016 km N 45° W of Palauig (Zambales),31 January 2023,09:24 AM,Slightly Felt,Palauig,Zambales
31 January 2023 - 08:29 AM,8.89,126.9,8.0,2.7,066 km S 88° E of Cagwait (Surigao Del Sur),31 January 2023,08:29 AM,Slightly Felt,Cagwait,Surigao Del Sur
31 January 2023 - 08:12 AM,8.91,126.94,1.0,2.4,071 km S 89° E of Cagwait (Surigao Del Sur),31 January 2023,08:12 AM,Slightly Felt,Cagwait,Surigao Del Sur
31 January 2023 - 04:51 AM,16.49,122.24,13.0,2.6,004 km S 30° W of Dinapigue (Isabela),31 January 2023,04:51 AM,Slightly Felt,Dinapigue,Isabela
31 January 2023 - 03:56 AM,7.22,126.74,18.0,2.4,022 km N 86° E of Manay (Davao Oriental),31 January 2023,03:56 AM,Slightly Felt,Manay,Davao Oriental
31 January 2023 - 03:52 AM,7.15,126.88,12.0,3.7,038 km S 80° E of Manay (Davao Oriental),31 January 2023,03:52 AM,Weak,Manay,Davao Oriental
31 January 2023 - 02:12 AM,13.71,120.6,98.0,1.6,014 km S 13° W of Calatagan (Batangas),31 January 2023,02:12 AM,Scarcely Perceptible,Calatagan,Batangas
31 January 2023 - 01:30 AM,16.59,119.81,29.0,2.0,024 km N 21° W of Bolinao (Pangasinan),31 January 2023,01:30 AM,Slightly Felt,Bolinao,Pangasinan
31 January 2023 - 01:27 AM,3.91,127.0,76.0,4.0,241 km S 46° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),31 January 2023,01:27 AM,Moderately Strong,Balut Island,Municipality Of Sarangani
31 January 2023 - 01:18 AM,10.2,125.88,19.0,2.2,026 km N 41° W of Santa Monica (Surigao Del Norte),31 January 2023,01:18 AM,Slightly Felt,Santa Monica,Surigao Del Norte
31 January 2023 - 12:59 AM,13.42,120.42,30.0,1.7,005 km N 82° W of Paluan (Occidental Mindoro),31 January 2023,12:59 AM,Scarcely Perceptible,Paluan,Occidental Mindoro
31 January 2023 - 12:42 AM,15.35,119.76,21.0,3.9,018 km S 61° W of Palauig (Zambales),31 January 2023,12:42 AM,Weak,Palauig,Zambales
31 January 2023 - 12:27 AM,18.86,121.35,45.0,2.4,003 km N 64° W of Fuga Island (Aparri) (Cagayan),31 January 2023,12:27 AM,Slightly Felt,Fuga Island,Aparri
30 January 2023 - 11:07 PM,17.68,119.3,77.0,2.6,113 km N 85° W of Santa Catalina (Ilocos Sur),30 January 2023,11:07 PM,Slightly Felt,Santa Catalina,Ilocos Sur
30 January 2023 - 10:52 PM,9.53,126.23,26.0,1.8,028 km N 08° E of Cortes (Surigao Del Sur),30 January 2023,10:52 PM,Scarcely Perceptible,Cortes,Surigao Del Sur
30 January 2023 - 10:29 PM,17.68,119.26,28.0,2.7,118 km N 85° W of Santa Catalina (Ilocos Sur),30 January 2023,10:29 PM,Slightly Felt,Santa Catalina,Ilocos Sur
30 January 2023 - 10:11 PM,9.7,126.03,27.0,2.6,007 km S 25° W of Dapa (Surigao Del Norte),30 January 2023,10:11 PM,Slightly Felt,Dapa,Surigao Del Norte
30 January 2023 - 09:25 PM,15.65,119.12,1.0,4.0,085 km S 81° W of Santa Cruz (Zambales),30 January 2023,09:25 PM,Moderately Strong,Santa Cruz,Zambales
30 January 2023 - 09:12 PM,17.83,120.73,11.0,3.0,012 km N 11° E of Lagayan (Abra),30 January 2023,09:12 PM,Weak,Lagayan,Abra
30 January 2023 - 08:38 PM,17.7,119.27,26.0,3.2,117 km N 84° W of Santa Catalina (Ilocos Sur),30 January 2023,08:38 PM,Weak,Santa Catalina,Ilocos Sur
30 January 2023 - 01:59 PM,14.97,120.29,118.0,2.0,011 km N 70° E of Castillejos (Zambales),30 January 2023,01:59 PM,Slightly Felt,Castillejos,Zambales
30 January 2023 - 01:27 PM,5.85,125.93,131.0,2.7,032 km S 77° E of Jose Abad Santos (Davao Occidental),30 January 2023,01:27 PM,Slightly Felt,Jose Abad Santos,Davao Occidental
30 January 2023 - 01:18 PM,10.64,126.65,30.0,2.7,093 km N 42° E of Burgos (Surigao Del Norte),30 January 2023,01:18 PM,Slightly Felt,Burgos,Surigao Del Norte
30 January 2023 - 12:49 PM,5.86,125.29,20.0,2.0,011 km N 63° E of Glan (Sarangani),30 January 2023,12:49 PM,Slightly Felt,Glan,Sarangani
30 January 2023 - 12:38 PM,9.8,126.9,1.0,2.4,082 km N 88° E of General Luna (Surigao Del Norte),30 January 2023,12:38 PM,Slightly Felt,General Luna,Surigao Del Norte
30 January 2023 - 11:45 AM,15.52,120.03,25.0,2.3,008 km S 81° E of Masinloc (Zambales),30 January 2023,11:45 AM,Slightly Felt,Masinloc,Zambales
30 January 2023 - 11:29 AM,12.69,121.82,6.0,2.7,027 km S 23° E of Concepcion (Romblon),30 January 2023,11:29 AM,Slightly Felt,Concepcion,Romblon
30 January 2023 - 11:20 AM,10.69,125.54,67.0,2.2,021 km S 75° W of Homonhon Island (Guiuan) (Eastern Samar),30 January 2023,11:20 AM,Slightly Felt,Homonhon Island,Guiuan
30 January 2023 - 09:07 AM,9.81,126.58,23.0,2.8,046 km N 87° E of General Luna (Surigao Del Norte),30 January 2023,09:07 AM,Slightly Felt,General Luna,Surigao Del Norte
30 January 2023 - 09:04 AM,9.88,126.69,14.0,3.4,059 km N 79° E of General Luna (Surigao Del Norte),30 January 2023,09:04 AM,Weak,General Luna,Surigao Del Norte
30 January 2023 - 08:45 AM,12.7,121.81,9.0,2.8,026 km S 21° E of Concepcion (Romblon),30 January 2023,08:45 AM,Slightly Felt,Concepcion,Romblon
30 January 2023 - 08:25 AM,13.81,120.85,7.0,2.7,009 km S 55° W of San Luis (Batangas),30 January 2023,08:25 AM,Slightly Felt,San Luis,Batangas
30 January 2023 - 08:16 AM,18.08,120.52,23.0,2.0,002 km N 12° W of Paoay (Ilocos Norte),30 January 2023,08:16 AM,Slightly Felt,Paoay,Ilocos Norte
30 January 2023 - 06:39 AM,7.35,126.8,30.0,3.2,026 km N 86° E of Caraga (Davao Oriental),30 January 2023,06:39 AM,Weak,Caraga,Davao Oriental
30 January 2023 - 06:21 AM,5.51,125.24,10.0,2.1,034 km S 06° E of Glan (Sarangani),30 January 2023,06:21 AM,Slightly Felt,Glan,Sarangani
30 January 2023 - 05:26 AM,8.82,126.36,46.0,2.3,008 km N 73° E of Marihatag (Surigao Del Sur),30 January 2023,05:26 AM,Slightly Felt,Marihatag,Surigao Del Sur
30 January 2023 - 04:18 AM,5.45,126.25,144.0,4.5,087 km S 88° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),30 January 2023,04:18 AM,Moderately Strong,Sarangani Island,Municipality Of Sarangani
30 January 2023 - 03:57 AM,2.09,126.99,2.0,5.4,407 km S 25° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),30 January 2023,03:57 AM,Strong,Balut Island,Municipality Of Sarangani
30 January 2023 - 03:22 AM,18.01,119.56,11.0,3.0,097 km N 81° W of Sinait (Ilocos Sur),30 January 2023,03:22 AM,Weak,Sinait,Ilocos Sur
30 January 2023 - 03:20 AM,17.77,120.84,5.0,1.7,006 km N 20° E of Tineg (Abra),30 January 2023,03:20 AM,Scarcely Perceptible,Tineg,Abra
30 January 2023 - 03:04 AM,9.75,126.11,15.0,1.8,006 km S 54° W of General Luna (Surigao Del Norte),30 January 2023,03:04 AM,Scarcely Perceptible,General Luna,Surigao Del Norte
30 January 2023 - 02:40 AM,10.78,125.75,20.0,1.8,005 km N 31° E of Homonhon Island (Guiuan) (Eastern Samar),30 January 2023,02:40 AM,Scarcely Perceptible,Homonhon Island,Guiuan
30 January 2023 - 01:45 AM,14.93,120.2,99.0,3.0,000 km N 63° W of Castillejos (Zambales),30 January 2023,01:45 AM,Weak,Castillejos,Zambales
30 January 2023 - 01:44 AM,10.15,126.32,5.0,3.2,031 km N 61° E of Burgos (Surigao Del Norte),30 January 2023,01:44 AM,Weak,Burgos,Surigao Del Norte
30 January 2023 - 01:26 AM,16.71,120.87,9.0,1.8,008 km N 60° W of Tinoc (Ifugao),30 January 2023,01:26 AM,Scarcely Perceptible,Tinoc,Ifugao
30 January 2023 - 12:35 AM,14.03,120.49,167.0,2.0,017 km S 88° W of Lian (Batangas),30 January 2023,12:35 AM,Slightly Felt,Lian,Batangas
30 January 2023 - 12:33 AM,10.4,125.96,17.0,2.7,042 km N 84° E of Loreto (Dinagat Islands),30 January 2023,12:33 AM,Slightly Felt,Loreto,Dinagat Islands
30 January 2023 - 12:11 AM,2.62,126.62,115.0,4.8,336 km S 23° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),30 January 2023,12:11 AM,Moderately Strong,Balut Island,Municipality Of Sarangani
29 January 2023 - 11:21 PM,18.56,121.14,9.0,2.0,007 km S 51° E of Claveria (Cagayan),29 January 2023,11:21 PM,Slightly Felt,Claveria,Cagayan
29 January 2023 - 08:57 PM,17.31,120.3,20.0,2.1,015 km S 84° W of San Esteban (Ilocos Sur),29 January 2023,08:57 PM,Slightly Felt,San Esteban,Ilocos Sur
29 January 2023 - 08:56 PM,10.36,124.19,35.0,1.8,021 km S 79° E of Liloan (Cebu),29 January 2023,08:56 PM,Scarcely Perceptible,Liloan,Cebu
29 January 2023 - 07:35 PM,5.69,125.25,14.0,2.0,016 km S 18° E of Glan (Sarangani),29 January 2023,07:35 PM,Slightly Felt,Glan,Sarangani
29 January 2023 - 07:25 PM,14.51,122.97,1.0,2.2,004 km N 38° E of Tinaga Island (Vinzons) (Camarines Norte),29 January 2023,07:25 PM,Slightly Felt,Tinaga Island,Vinzons
29 January 2023 - 04:35 PM,6.45,124.63,4.0,3.0,006 km N 66° W of Santo NiÃ±o (South Cotabato),29 January 2023,04:35 PM,Weak,Santo NiÃ±o,South Cotabato
29 January 2023 - 04:00 PM,9.8,125.8,27.0,1.7,021 km S 67° W of Del Carmen (Surigao Del Norte),29 January 2023,04:00 PM,Scarcely Perceptible,Del Carmen,Surigao Del Norte
29 January 2023 - 02:27 PM,4.36,126.66,67.0,3.9,180 km S 50° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),29 January 2023,02:27 PM,Weak,Balut Island,Municipality Of Sarangani
29 January 2023 - 01:15 PM,3.08,126.68,96.0,4.1,294 km S 28° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),29 January 2023,01:15 PM,Moderately Strong,Balut Island,Municipality Of Sarangani
29 January 2023 - 12:23 PM,5.58,125.21,23.0,5.0,026 km S 02° E of Glan (Sarangani),29 January 2023,12:23 PM,Strong,Glan,Sarangani
29 January 2023 - 12:22 PM,10.44,125.09,28.0,2.6,013 km N 67° W of Hinunangan (Southern Leyte),29 January 2023,12:22 PM,Slightly Felt,Hinunangan,Southern Leyte
29 January 2023 - 11:59 AM,6.86,124.81,28.0,1.5,008 km N 65° W of Tulunan (Cotabato),29 January 2023,11:59 AM,Scarcely Perceptible,Tulunan,Cotabato
29 January 2023 - 11:56 AM,6.83,125.05,10.0,2.3,015 km N 54° W of Magsaysay (Davao Del Sur),29 January 2023,11:56 AM,Slightly Felt,Magsaysay,Davao Del Sur
29 January 2023 - 11:20 AM,2.9,126.71,5.0,4.4,312 km S 27° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),29 January 2023,11:20 AM,Moderately Strong,Balut Island,Municipality Of Sarangani
29 January 2023 - 10:26 AM,8.87,125.69,7.0,2.3,006 km N 02° E of Sibagat (Agusan Del Sur),29 January 2023,10:26 AM,Slightly Felt,Sibagat,Agusan Del Sur
29 January 2023 - 09:45 AM,2.9,126.51,16.0,3.9,303 km S 24° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),29 January 2023,09:45 AM,Weak,Balut Island,Municipality Of Sarangani
29 January 2023 - 09:23 AM,5.28,127.01,98.0,3.2,167 km S 65° E of Jose Abad Santos (Davao Occidental),29 January 2023,09:23 AM,Weak,Jose Abad Santos,Davao Occidental
29 January 2023 - 09:19 AM,2.63,126.84,18.0,3.6,345 km S 27° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),29 January 2023,09:19 AM,Weak,Balut Island,Municipality Of Sarangani
29 January 2023 - 02:59 AM,14.34,123.05,1.0,2.0,018 km S 35° E of Tinaga Island (Vinzons) (Camarines Norte),29 January 2023,02:59 AM,Slightly Felt,Tinaga Island,Vinzons
29 January 2023 - 02:24 AM,10.23,125.19,31.0,2.5,004 km S 25° E of San Juan (Southern Leyte),29 January 2023,02:24 AM,Slightly Felt,San Juan,Southern Leyte
29 January 2023 - 12:02 AM,8.1,126.26,105.0,2.9,014 km S 24° W of City Of Bislig (Surigao Del Sur),29 January 2023,12:02 AM,Slightly Felt,City Of Bislig,Surigao Del Sur
28 January 2023 - 11:59 PM,8.41,123.52,20.0,1.9,005 km S 78° E of Mutia (Zamboanga Del Norte),28 January 2023,11:59 PM,Scarcely Perceptible,Mutia,Zamboanga Del Norte
28 January 2023 - 11:29 PM,6.6,123.6,54.0,3.1,050 km N 84° W of Kalamansig (Sultan Kudarat),28 January 2023,11:29 PM,Weak,Kalamansig,Sultan Kudarat
28 January 2023 - 09:11 PM,16.08,119.47,1.0,3.0,035 km S 83° W of Agno (Pangasinan),28 January 2023,09:11 PM,Weak,Agno,Pangasinan
28 January 2023 - 08:56 PM,10.68,125.5,57.0,2.3,026 km S 74° W of Homonhon Island (Guiuan) (Eastern Samar),28 January 2023,08:56 PM,Slightly Felt,Homonhon Island,Guiuan
28 January 2023 - 08:31 PM,15.36,120.1,29.0,1.7,011 km N 46° E of Botolan (Zambales),28 January 2023,08:31 PM,Scarcely Perceptible,Botolan,Zambales
28 January 2023 - 07:50 PM,8.49,126.65,17.0,2.6,038 km N 68° E of Hinatuan (Surigao Del Sur),28 January 2023,07:50 PM,Slightly Felt,Hinatuan,Surigao Del Sur
28 January 2023 - 06:55 PM,18.69,120.76,1.0,3.0,015 km N 13° W of Pagudpud (Ilocos Norte),28 January 2023,06:55 PM,Weak,Pagudpud,Ilocos Norte
28 January 2023 - 02:56 PM,8.48,126.55,35.0,3.0,026 km N 61° E of Hinatuan (Surigao Del Sur),28 January 2023,02:56 PM,Weak,Hinatuan,Surigao Del Sur
28 January 2023 - 02:22 PM,9.61,126.24,32.0,1.6,022 km S 25° E of General Luna (Surigao Del Norte),28 January 2023,02:22 PM,Scarcely Perceptible,General Luna,Surigao Del Norte
28 January 2023 - 09:51 AM,10.69,122.29,7.0,2.7,004 km S 45° E of Igbaras (Iloilo),28 January 2023,09:51 AM,Slightly Felt,Igbaras,Iloilo
28 January 2023 - 08:34 AM,10.14,126.43,8.0,3.5,041 km N 71° E of Burgos (Surigao Del Norte),28 January 2023,08:34 AM,Weak,Burgos,Surigao Del Norte
28 January 2023 - 06:55 AM,10.74,125.53,72.0,2.9,021 km N 89° W of Homonhon Island (Guiuan) (Eastern Samar),28 January 2023,06:55 AM,Slightly Felt,Homonhon Island,Guiuan
28 January 2023 - 06:27 AM,6.98,126.0,29.0,2.8,002 km N 57° W of Banaybanay (Davao Oriental),28 January 2023,06:27 AM,Slightly Felt,Banaybanay,Davao Oriental
28 January 2023 - 04:51 AM,10.69,125.59,78.0,2.7,016 km S 67° W of Homonhon Island (Guiuan) (Eastern Samar),28 January 2023,04:51 AM,Slightly Felt,Homonhon Island,Guiuan
28 January 2023 - 04:25 AM,10.74,125.58,71.0,5.5,015 km S 88° W of Homonhon Island (Guiuan) (Eastern Samar),28 January 2023,04:25 AM,Strong,Homonhon Island,Guiuan
28 January 2023 - 01:36 AM,14.47,122.96,1.0,2.7,002 km S 47° E of Tinaga Island (Vinzons) (Camarines Norte),28 January 2023,01:36 AM,Slightly Felt,Tinaga Island,Vinzons
27 January 2023 - 11:41 PM,17.25,121.1,12.0,3.2,005 km S 76° W of Tinglayan (Kalinga),27 January 2023,11:41 PM,Weak,Tinglayan,Kalinga
27 January 2023 - 11:18 PM,8.7,125.96,3.0,2.4,012 km N 21° E of Prosperidad (Agusan Del Sur),27 January 2023,11:18 PM,Slightly Felt,Prosperidad,Agusan Del Sur
27 January 2023 - 10:59 PM,6.9,126.68,151.0,2.3,030 km S 58° E of Tarragona (Davao Oriental),27 January 2023,10:59 PM,Slightly Felt,Tarragona,Davao Oriental
27 January 2023 - 06:45 PM,18.98,121.97,1.0,2.7,013 km N 53° E of Camiguin Island (Calayan) (Cagayan),27 January 2023,06:45 PM,Slightly Felt,Camiguin Island,Calayan
27 January 2023 - 03:31 PM,7.15,123.66,32.0,2.2,040 km N 77° W of Datu Blah T. Sinsuat (Maguindanao Del Norte),27 January 2023,03:31 PM,Slightly Felt,Datu Blah T. Sinsuat,Maguindanao Del Norte
27 January 2023 - 03:06 PM,4.69,126.0,18.0,4.1,102 km S 39° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),27 January 2023,03:06 PM,Moderately Strong,Balut Island,Municipality Of Sarangani
27 January 2023 - 02:28 PM,14.32,120.36,115.0,3.5,019 km S 47° W of Mariveles (Bataan),27 January 2023,02:28 PM,Weak,Mariveles,Bataan
27 January 2023 - 11:21 AM,13.91,120.42,105.0,4.0,025 km N 69° W of Calatagan (Batangas),27 January 2023,11:21 AM,Moderately Strong,Calatagan,Batangas
27 January 2023 - 10:11 AM,16.65,120.32,9.0,1.8,008 km S 23° W of Bacnotan (La Union),27 January 2023,10:11 AM,Scarcely Perceptible,Bacnotan,La Union
27 January 2023 - 09:52 AM,9.64,126.1,23.0,2.4,015 km N 81° E of Socorro (Surigao Del Norte),27 January 2023,09:52 AM,Slightly Felt,Socorro,Surigao Del Norte
27 January 2023 - 09:40 AM,10.12,126.48,6.0,3.6,046 km N 76° E of Burgos (Surigao Del Norte),27 January 2023,09:40 AM,Weak,Burgos,Surigao Del Norte
27 January 2023 - 09:06 AM,10.09,126.43,4.0,3.9,040 km N 79° E of Burgos (Surigao Del Norte),27 January 2023,09:06 AM,Weak,Burgos,Surigao Del Norte
27 January 2023 - 08:55 AM,10.16,126.6,2.0,3.6,059 km N 75° E of Burgos (Surigao Del Norte),27 January 2023,08:55 AM,Weak,Burgos,Surigao Del Norte
27 January 2023 - 08:40 AM,14.43,123.1,1.0,2.0,017 km S 72° E of Tinaga Island (Vinzons) (Camarines Norte),27 January 2023,08:40 AM,Slightly Felt,Tinaga Island,Vinzons
27 January 2023 - 08:35 AM,16.97,121.36,17.0,2.0,004 km S 75° E of Aguinaldo (Ifugao),27 January 2023,08:35 AM,Slightly Felt,Aguinaldo,Ifugao
27 January 2023 - 08:13 AM,9.33,126.01,135.0,1.9,012 km N 02° W of Carmen (Surigao Del Sur),27 January 2023,08:13 AM,Scarcely Perceptible,Carmen,Surigao Del Sur
27 January 2023 - 06:56 AM,16.59,120.39,32.0,2.1,005 km S 64° W of Bagulin (La Union),27 January 2023,06:56 AM,Slightly Felt,Bagulin,La Union
27 January 2023 - 06:54 AM,10.21,126.44,8.0,3.3,046 km N 62° E of Burgos (Surigao Del Norte),27 January 2023,06:54 AM,Weak,Burgos,Surigao Del Norte
27 January 2023 - 06:47 AM,9.11,126.47,22.0,2.2,028 km N 42° E of Cagwait (Surigao Del Sur),27 January 2023,06:47 AM,Slightly Felt,Cagwait,Surigao Del Sur
27 January 2023 - 06:05 AM,10.31,125.79,19.0,2.2,024 km S 77° E of Loreto (Dinagat Islands),27 January 2023,06:05 AM,Slightly Felt,Loreto,Dinagat Islands
27 January 2023 - 05:22 AM,2.94,126.34,1.0,4.6,291 km S 20° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),27 January 2023,05:22 AM,Moderately Strong,Balut Island,Municipality Of Sarangani
27 January 2023 - 04:13 AM,17.76,121.22,9.0,1.7,012 km S 69° W of Conner (Apayao),27 January 2023,04:13 AM,Scarcely Perceptible,Conner,Apayao
27 January 2023 - 03:36 AM,6.85,126.75,140.0,2.1,040 km S 57° E of Tarragona (Davao Oriental),27 January 2023,03:36 AM,Slightly Felt,Tarragona,Davao Oriental
27 January 2023 - 03:32 AM,7.57,126.57,4.0,2.5,001 km S 30° E of Baganga (Davao Oriental),27 January 2023,03:32 AM,Slightly Felt,Baganga,Davao Oriental
27 January 2023 - 03:21 AM,9.29,126.48,13.0,2.6,032 km N 86° E of Cortes (Surigao Del Sur),27 January 2023,03:21 AM,Slightly Felt,Cortes,Surigao Del Sur
27 January 2023 - 03:00 AM,5.74,124.8,20.0,3.5,033 km S 35° E of Kiamba (Sarangani),27 January 2023,03:00 AM,Weak,Kiamba,Sarangani
27 January 2023 - 02:07 AM,10.5,125.12,1.0,2.6,006 km S 54° W of Silago (Southern Leyte),27 January 2023,02:07 AM,Slightly Felt,Silago,Southern Leyte
27 January 2023 - 01:54 AM,6.67,123.84,1.0,2.4,027 km N 61° W of Kalamansig (Sultan Kudarat),27 January 2023,01:54 AM,Slightly Felt,Kalamansig,Sultan Kudarat
27 January 2023 - 01:33 AM,2.73,126.72,56.0,4.4,330 km S 26° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),27 January 2023,01:33 AM,Moderately Strong,Balut Island,Municipality Of Sarangani
27 January 2023 - 01:25 AM,2.67,126.8,71.0,4.7,340 km S 27° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),27 January 2023,01:25 AM,Moderately Strong,Balut Island,Municipality Of Sarangani
27 January 2023 - 12:38 AM,6.08,126.22,116.0,2.9,059 km S 77° E of Don Marcelino (Davao Occidental),27 January 2023,12:38 AM,Slightly Felt,Don Marcelino,Davao Occidental
27 January 2023 - 12:18 AM,18.33,120.76,20.0,2.1,015 km S 88° E of Pasuquin (Ilocos Norte),27 January 2023,12:18 AM,Slightly Felt,Pasuquin,Ilocos Norte
26 January 2023 - 11:28 PM,13.73,120.62,124.0,2.5,011 km S 04° W of Calatagan (Batangas),26 January 2023,11:28 PM,Slightly Felt,Calatagan,Batangas
26 January 2023 - 11:19 PM,8.69,126.47,20.0,2.0,023 km S 57° E of Marihatag (Surigao Del Sur),26 January 2023,11:19 PM,Slightly Felt,Marihatag,Surigao Del Sur
26 January 2023 - 08:46 PM,8.52,127.12,9.0,2.9,088 km N 79° E of Hinatuan (Surigao Del Sur),26 January 2023,08:46 PM,Slightly Felt,Hinatuan,Surigao Del Sur
26 January 2023 - 08:39 PM,9.54,126.27,18.0,2.5,030 km S 24° E of General Luna (Surigao Del Norte),26 January 2023,08:39 PM,Slightly Felt,General Luna,Surigao Del Norte
26 January 2023 - 05:23 PM,7.05,125.99,36.0,2.1,009 km N 30° W of Banaybanay (Davao Oriental),26 January 2023,05:23 PM,Slightly Felt,Banaybanay,Davao Oriental
26 January 2023 - 03:13 PM,9.26,123.19,7.0,3.4,006 km S 73° W of Valencia (Negros Oriental),26 January 2023,03:13 PM,Weak,Valencia,Negros Oriental
26 January 2023 - 01:04 PM,13.65,120.62,100.0,1.8,021 km S 02° W of Calatagan (Batangas),26 January 2023,01:04 PM,Scarcely Perceptible,Calatagan,Batangas
26 January 2023 - 12:23 PM,2.65,127.01,95.0,5.6,353 km S 30° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),26 January 2023,12:23 PM,Strong,Balut Island,Municipality Of Sarangani
26 January 2023 - 10:14 AM,5.69,126.01,103.0,2.6,048 km S 58° E of Jose Abad Santos (Davao Occidental),26 January 2023,10:14 AM,Slightly Felt,Jose Abad Santos,Davao Occidental
26 January 2023 - 10:06 AM,17.81,121.33,23.0,2.1,002 km N 22° E of Conner (Apayao),26 January 2023,10:06 AM,Slightly Felt,Conner,Apayao
26 January 2023 - 05:45 AM,6.03,126.33,85.0,2.9,072 km S 75° E of Don Marcelino (Davao Occidental),26 January 2023,05:45 AM,Slightly Felt,Don Marcelino,Davao Occidental
26 January 2023 - 05:45 AM,13.51,120.57,127.0,1.8,019 km N 69° W of Abra De Ilog (Occidental Mindoro),26 January 2023,05:45 AM,Scarcely Perceptible,Abra De Ilog,Occidental Mindoro
26 January 2023 - 05:20 AM,17.46,121.07,13.0,1.8,015 km S 90° E of Daguioman (Abra),26 January 2023,05:20 AM,Scarcely Perceptible,Daguioman,Abra
26 January 2023 - 05:10 AM,13.62,120.59,76.0,2.5,024 km S 11° W of Calatagan (Batangas),26 January 2023,05:10 AM,Slightly Felt,Calatagan,Batangas
26 January 2023 - 04:57 AM,16.63,119.83,22.0,3.2,027 km N 15° W of Bolinao (Pangasinan),26 January 2023,04:57 AM,Weak,Bolinao,Pangasinan
